name,nif,address,cp,color,phone,ssn,count_bank
Gastón Escrivá-Elorza,Y5779696V,"Alameda de Hipólito Domingo 47 Puerta 7 
Guadalajara, 22022",cp: 10022,#f9e459,+34 879 469 451,Y5779696V,count_bank: ES7852231786839385582045
Florencio Arana Granados,X3597857J,"Cuesta de Alexandra Esteve 98 Apt. 86 
Palencia, 02364",cp: 38367,#d1b8fc,+34 844 69 14 20,X3597857J,count_bank: ES2412276332166410747411
Clemente Salmerón Palau,G60938875,"Camino Florina Bilbao 34
Valladolid, 06071",cp: 34228,#33bf89,+34 824 29 90 84,G60938875,count_bank: ES0485268980416197134864
Clementina Agudo Cabrera,Z5619859K,"Cuesta de Luna Rico 20 Apt. 67 
Granada, 42885",cp: 37225,#7bf79e,+34 806 323 960,Z5619859K,count_bank: ES8713985898910295677469
Felipa Armengol Sarmiento,V6771751B,"Paseo de Carlito Abad 461 Apt. 96 
Huesca, 11179",cp: 32220,#4ba7f2,+34985 17 68 89,V6771751B,count_bank: ES2968251637605977595933
Mohamed Girona Fuente,Z2995248D,"Cañada Mateo Cano 67
Jaén, 40937",cp: 01083,#76f2c2,+34888 145 005,Z2995248D,count_bank: ES2891289780638708440156
Sigfrido Conrado Novoa Mínguez,98324378E,"Urbanización de Judith Mayo 203
Valladolid, 35355",cp: 05332,#47ce3d,+34 828 45 96 98,98324378E,count_bank: ES5373312964079079791527
Nidia de Riquelme,X0865720T,"Urbanización de Virginia Carbajo 3 Piso 1 
Segovia, 04050",cp: 34305,#c48436,+34888 41 17 97,X0865720T,count_bank: ES0727824119505222079611
Bonifacio Pinilla Gascón,D23035793,"Cuesta Amelia Andrade 11
Santa Cruz de Tenerife, 31363",cp: 26966,#ed1207,+34944451834,D23035793,count_bank: ES4404324847119190627966
Elodia Benito Quero,X1391337K,"Glorieta de Moisés Armengol 16 Piso 8 
La Coruña, 48054",cp: 15510,#7fe084,+34824368225,X1391337K,count_bank: ES0276197504979407551395
Tito del Gálvez,94675716B,"Acceso de Jerónimo Mancebo 84
Jaén, 25341",cp: 47871,#f7abaa,+34 986 19 29 83,94675716B,count_bank: ES9397087664528024014412
Daniel de Fernández,53858654Z,"Glorieta de Berta Cervera 8 Apt. 57 
Granada, 43936",cp: 09833,#7dbc31,+34 976 20 68 69,53858654Z,count_bank: ES8580192791449823985886
Jose Córdoba Español,23306932C,"Alameda de Aura Cisneros 43 Puerta 5 
Álava, 10480",cp: 38166,#a6f79b,+34 924 70 77 02,23306932C,count_bank: ES8275764576332433209127
Dominga Canet Puerta,P8101503D,"Glorieta Joan Bustamante 96 Apt. 86 
Sevilla, 29061",cp: 33187,#ef287b,+34983 36 95 57,P8101503D,count_bank: ES4243615766918358201119
Susana del Sáez,X7215750Y,"Pasaje de Eliana Poza 898 Puerta 4 
Lleida, 15819",cp: 47722,#4fb705,+34 976445847,X7215750Y,count_bank: ES2077549420687070767501
Lara Prada-Estevez,21459978N,"Cañada de Desiderio Palacios 30 Puerta 9 
Granada, 17598",cp: 16389,#6cddd2,+34 986 391 653,21459978N,count_bank: ES7765002757184847952627
Juan Ros Lozano,R2530880J,"Camino de Jose Carlos Escamilla 3
Burgos, 22753",cp: 27839,#d8b227,+34 941 59 71 10,R2530880J,count_bank: ES5561477122131719162457
Begoña Martin Pareja,R0588960E,"Urbanización de Nydia Rius 20 Piso 9 
Valencia, 11100",cp: 24813,#599cd6,+34 979 00 51 14,R0588960E,count_bank: ES6205339774569872506022
Vicente Espejo,X3752548Y,"Plaza de Gisela Ortiz 5 Puerta 6 
Badajoz, 05793",cp: 14294,#ea3f33,+34928 54 85 70,X3752548Y,count_bank: ES9492561661634559944252
Felix Alba Avilés,76979923G,"Acceso Leire Iriarte 8
Badajoz, 33343",cp: 08608,#c49331,+34926 889 288,76979923G,count_bank: ES3731062673268247726486
Chelo del Torrents,Z9681457A,"Acceso de Fidel Sarmiento 1
Álava, 38383",cp: 26615,#f6c9ff,+34 976 62 09 92,Z9681457A,count_bank: ES7805166830562669062478
Reyes Teruel Salvà,X3699909Z,"Rambla de Fabián Villar 545
Sevilla, 12463",cp: 51104,#8c0819,+34800965044,X3699909Z,count_bank: ES8826964062016803579743
Angelita Amaya Morell,59133436E,"Avenida Anastasia Barbero 809
Toledo, 15905",cp: 37431,#ba0e45,+34 888 70 34 24,59133436E,count_bank: ES9458843221478780306704
Sandra Palacios Rodrigo,Y3961110H,"Ronda de Olga Casals 85 Apt. 52 
Sevilla, 23742",cp: 07879,#ef2861,+34878 77 95 70,Y3961110H,count_bank: ES0737446587959880242829
Jacinto Perales Álvaro,E87459368,"Paseo de Sebastián Velasco 720
León, 44198",cp: 02200,#9072f9,+34942021775,E87459368,count_bank: ES2253197220905000609208
Jose Miguel Fuertes Fuentes,Q1573611I,"Calle Jose Luis Quiroga 42
Ciudad, 29658",cp: 05391,#c91699,+34 820056899,Q1573611I,count_bank: ES9794713018698519503992
Teófila Toledo,B19473339,"Vial Francisco Javier Querol 31 Apt. 28 
Girona, 10360",cp: 43882,#484cad,+34985907743,B19473339,count_bank: ES1533903696621057615168
Elisa Sastre Ferrero,42878776Z,"Paseo Trini Ibañez 897
Valencia, 16013",cp: 25933,#f972ee,+34 946 140 354,42878776Z,count_bank: ES2198528432687147268404
Amancio Canet Boada,R1574278F,"Paseo Josefa Gonzalez 25
Zamora, 37681",cp: 05788,#92f47f,+34 830 645 830,R1574278F,count_bank: ES8824870315808451656703
Almudena Balaguer Vilanova,N7692702I,"Cuesta de Eligia Sobrino 99
Melilla, 49082",cp: 04682,#a2f9d8,+34 849 64 57 97,N7692702I,count_bank: ES5004588525181069321188
Hugo Ribes,Z7161465Y,"Cañada de José María Alemany 84 Apt. 58 
Ourense, 20139",cp: 19132,#fcccbf,+34921 37 29 49,Z7161465Y,count_bank: ES4498793170421650607814
Celia Gargallo Taboada,19329659E,"Ronda de Abilio Plaza 9 Piso 5 
Cáceres, 24720",cp: 11970,#4bf248,+34987 36 87 54,19329659E,count_bank: ES2213535950670961403324
Luz de Arévalo,06096803D,"Paseo Timoteo Oliva 290
Guipúzcoa, 45162",cp: 12530,#f9e884,+34 828 361 897,06096803D,count_bank: ES5305900862205017157271
Daniel Ibáñez-Pont,A54029541,"Pasadizo Ágata Zorrilla 6
Las Palmas, 09569",cp: 25272,#35e897,+34924 17 61 48,A54029541,count_bank: ES4923631982659098012691
Filomena Sans-Recio,27043158B,"Via de Elvira Alcolea 14 Piso 5 
Cuenca, 21461",cp: 34279,#e29383,+34 884679838,27043158B,count_bank: ES5232936364591739376020
Luis Ángel del Pozo,Z2121358G,"Via de Gerónimo Castelló 34
Lugo, 51340",cp: 41783,#28af67,+34825904098,Z2121358G,count_bank: ES3768344844808363199535
Jenaro de Monreal,58756462H,"Glorieta Tatiana Bravo 45
Granada, 39847",cp: 36824,#1ecc4c,+34 846 55 14 78,58756462H,count_bank: ES3273514625171654685761
Purificación Duque-Sebastián,H22208763,"Pasaje Victor Madrid 353 Piso 2 
Zamora, 14782",cp: 51436,#f6fc4b,+34 921 87 44 53,H22208763,count_bank: ES2943054053057946834463
Julie Rodrigo Olmo,G81191264,"Plaza de Emiliano Jaume 53 Piso 0 
Alicante, 28179",cp: 23490,#a1c423,+34981199245,G81191264,count_bank: ES6824283007798017241941
Armando del Botella,Q7163181F,"Camino Tamara Borrell 67
Guipúzcoa, 01753",cp: 20403,#78e055,+34925 047 017,Q7163181F,count_bank: ES1344413701011333508469
María Carmen Oller Núñez,X2579802F,"Paseo de Silvio Juárez 31 Apt. 57 
Jaén, 01013",cp: 07353,#d817cf,+34 971 090 759,X2579802F,count_bank: ES4149879213166937527784
María Teresa Pablo,Y1099445J,"Avenida de Ema Toledo 93 Puerta 0 
Lleida, 39572",cp: 51877,#4532a3,+34948978433,Y1099445J,count_bank: ES6424906265749301113305
Ceferino Busquets Beltran,R0179105B,"Plaza Emilio Montesinos 4 Puerta 1 
Zamora, 37358",cp: 22401,#11931a,+34 924 447 569,R0179105B,count_bank: ES2509881141818932096591
Vasco Baró Porcel,B98130925,"Avenida de Cleto Canals 804 Apt. 38 
Las Palmas, 06900",cp: 28390,#f4a8d7,+34 878 16 96 41,B98130925,count_bank: ES3100401898944991166240
Andrés Guerra Ortuño,Y4250897M,"Via Chuy Mosquera 302 Piso 5 
Zamora, 04594",cp: 03069,#e07b9e,+34 927 17 61 44,Y4250897M,count_bank: ES7159330776127963310230
Calixta de Alcázar,20305550T,"Cañada de Esperanza Chaves 58 Puerta 0 
Valladolid, 46688",cp: 04834,#57e5ed,+34875 684 221,20305550T,count_bank: ES8837751594185788031250
Ciro Cuevas Bautista,N5052942I,"Camino de Teodora Casado 13
Ourense, 13894",cp: 34020,#cdf407,+34873 222 732,N5052942I,count_bank: ES8989501213739689284696
Danilo Manuel Landa,A01858513,"Callejón de Amaro Carreño 1
Melilla, 28284",cp: 49225,#22b765,+34979 87 50 63,A01858513,count_bank: ES5477660963934996321395
Mariana Torrecilla-Echeverría,Q8870955E,"Avenida Cristóbal Gomez 77
Madrid, 27628",cp: 46020,#3c67e8,+34963427849,Q8870955E,count_bank: ES6170898109788501363675
Ricardo Blázquez Cantón,J1080859J,"Callejón de Juan Bautista Alegre 75 Puerta 0 
Jaén, 38491",cp: 37668,#57d1b6,+34879 75 36 81,J1080859J,count_bank: ES4867112139433689794107
Rubén López Yuste,X0903635B,"Pasaje de Abraham Sedano 828 Apt. 94 
León, 18057",cp: 20563,#7aefa9,+34 878996351,X0903635B,count_bank: ES6139790382077497903883
Dimas Murcia,X8993118A,"C. de Eulalia Peña 7
Lugo, 37861",cp: 14296,#0e9137,+34947 93 78 97,X8993118A,count_bank: ES2371614336801609374079
Tatiana Maestre Carretero,27072015A,"Pasaje Olga Amigó 65 Apt. 67 
La Rioja, 14186",cp: 02341,#fc2df8,+34825 82 88 09,27072015A,count_bank: ES9239638528432285605131
Morena Cortina Julián,V1570305A,"Acceso de María Carmen Barceló 31 Puerta 5 
Las Palmas, 20176",cp: 41915,#e2a02d,+34925861659,V1570305A,count_bank: ES8402108461420854462121
Itziar Valls Heredia,X7403685P,"Ronda de Severo Sola 77
Alicante, 06587",cp: 32449,#fc80ee,+34901 177 188,X7403685P,count_bank: ES2216453464357397937746
Nazaret Andrade-Barreda,Y3238803A,"Pasaje de Édgar Cabrera 8
Murcia, 14043",cp: 08034,#cc597d,+34 926 22 10 38,Y3238803A,count_bank: ES0331739976400415293965
Prudencio Jose Carlos Zabaleta Aroca,Z1445712Y,"Callejón de Omar Borrego 9
Castellón, 32410",cp: 31389,#ffadc3,+34 902 19 56 90,Z1445712Y,count_bank: ES8309105434572576928029
Remigio María Molina Llorente,B55458376,"Urbanización de León Saldaña 79
Toledo, 22463",cp: 26108,#e9ff49,+34842 138 399,B55458376,count_bank: ES0829387522250639084586
Manola Valls Cervera,R9722519G,"Avenida de Irma Losada 94 Puerta 9 
Cantabria, 21951",cp: 23445,#c918b1,+34 877767719,R9722519G,count_bank: ES4143230973020860700390
Amarilis Nebot Llopis,X8651114D,"Alameda de Jordán Valverde 70 Apt. 66 
Albacete, 44655",cp: 05706,#fcef37,+34828638548,X8651114D,count_bank: ES0301260940754494930501
Carmina Guzman Juan,B68339506,"Calle Catalina Llamas 208
Álava, 06293",cp: 20631,#9778cc,+34841 529 480,B68339506,count_bank: ES7458647850999838865972
Viviana Pazos Osuna,Y0229128Q,"C. Fidela Egea 4 Puerta 0 
Pontevedra, 24781",cp: 15432,#ea0282,+34822930172,Y0229128Q,count_bank: ES0606671314110875282303
Adoración Susanita Calleja Botella,Z9264382X,"Cuesta de Ramón Arce 1 Puerta 2 
Valencia, 05498",cp: 10827,#f23259,+34937 65 81 03,Z9264382X,count_bank: ES7180349578276442964279
Fanny Febe Lorenzo Vicente,24287087F,"C. Haydée Pallarès 9
Lugo, 03092",cp: 12529,#dd4dd9,+34 971 184 018,24287087F,count_bank: ES2797971879580067487881
Rómulo Tapia,N2834465C,"C. de Serafina Barba 63
Burgos, 08489",cp: 05442,#c6355e,+34877 29 03 38,N2834465C,count_bank: ES3026617808623741377372
Conrado Barranco Garcés,C56158231,"Cañada de Alfredo Robledo 34 Puerta 8 
Burgos, 38658",cp: 20580,#a8f72a,+34 742 807 674,C56158231,count_bank: ES3591053014193547621917
Azahar Canals,A46516266,"C. Lilia Zapata 12
Las Palmas, 14093",cp: 45004,#18ad80,+34 871 821 092,A46516266,count_bank: ES1422497464739170340115
Fabiana Amarilis Lasa Molina,79566088A,"Pasaje de Vasco Fajardo 29
Pontevedra, 13299",cp: 12308,#74ba03,+34928 27 09 34,79566088A,count_bank: ES2142704314263060973147
Donato Gallo,Y0436609Z,"Glorieta Jose Ignacio Sevillano 2 Puerta 5 
Badajoz, 37612",cp: 06325,#0b47a0,+34807127043,Y0436609Z,count_bank: ES9831885032409712570261
Paulino del Benítez,X7452827E,"Pasaje de Máxima Barros 40
Soria, 46962",cp: 34912,#fff6bf,+34846804940,X7452827E,count_bank: ES5937266764858429031035
Josefina Losada Rosselló,23502084V,"Cuesta de Ruth Carbó 83 Apt. 47 
Murcia, 19904",cp: 20618,#3f2b87,+34921151650,23502084V,count_bank: ES6227522698326578199027
Eligia Perera Narváez,Y3908727Y,"Calle Begoña Dávila 1 Apt. 07 
Badajoz, 23999",cp: 17544,#e0807b,+34 887 46 42 28,Y3908727Y,count_bank: ES4799215787853793603391
